"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
24859,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",43,"Dabakala",149,"Bassawa","","","Sous-préfecture","Sub-prefecture"
24860,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",43,"Dabakala",150,"Bonieredougou","","","Sous-préfecture","Sub-prefecture"
24861,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",43,"Dabakala",151,"Dabakala","","","Sous-préfecture","Sub-prefecture"
24862,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",43,"Dabakala",152,"Foumbolo","","","Sous-préfecture","Sub-prefecture"
24863,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",43,"Dabakala",153,"Santama-Sokoro","","","Sous-préfecture","Sub-prefecture"
24864,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",43,"Dabakala",154,"Satama-Sokoura","","","Sous-préfecture","Sub-prefecture"
24865,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",44,"Katiola",155,"Fronan","","","Sous-préfecture","Sub-prefecture"
24866,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",44,"Katiola",156,"Katiola","","","Sous-préfecture","Sub-prefecture"
24867,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",44,"Katiola",157,"Niakarmadougou","","","Sous-préfecture","Sub-prefecture"
24868,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",44,"Katiola",158,"Tafiere","","","Sous-préfecture","Sub-prefecture"
24869,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",44,"Katiola",159,"Tortiya","","","Sous-préfecture","Sub-prefecture"
24870,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",45,"Sakassou",160,"Sakassou","","","Sous-préfecture","Sub-prefecture"
24871,56,"CIV","Côte d'Ivoire",18,"Worodougou",46,"Mankono",161,"Dianra","","","Sous-préfecture","Sub-prefecture"
24872,56,"CIV","Côte d'Ivoire",18,"Worodougou",46,"Mankono",162,"Kongasso","","","Sous-préfecture","Sub-prefecture"
24873,56,"CIV","Côte d'Ivoire",18,"Worodougou",46,"Mankono",163,"Kounahiri","","","Sous-préfecture","Sub-prefecture"
24874,56,"CIV","Côte d'Ivoire",18,"Worodougou",46,"Mankono",164,"Mankono","","","Sous-préfecture","Sub-prefecture"
24875,56,"CIV","Côte d'Ivoire",18,"Worodougou",46,"Mankono",165,"Sarhala","","","Sous-préfecture","Sub-prefecture"
24876,56,"CIV","Côte d'Ivoire",18,"Worodougou",46,"Mankono",166,"Tieningboue","","","Sous-préfecture","Sub-prefecture"
24877,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",167,"Djibrosso","","","Sous-préfecture","Sub-prefecture"
